 	slice	peaks
1497	1497	2087
1498	1498	2089
1499	1499	2089
1500	1500	2087
1501	1501	2083
1502	1502	2080
1503	1503	2078
1504	1504	2084
1505	1505	2077
1506	1506	2082
1507	1507	2086
1508	1508	2075
1509	1509	2077
1510	1510	2073
1511	1511	2077
1512	1512	2065
1513	1513	2064
1514	1514	2068
1515	1515	2066
1516	1516	2060
1517	1517	2056
1518	1518	2060
1519	1519	2053
1520	1520	2057
1521	1521	2055
1522	1522	2053
1523	1523	2048
1524	1524	2045
1525	1525	2053
1526	1526	2041
1527	1527	2041
1528	1528	2042
1529	1529	2038
1530	1530	2040
1531	1531	2038
1532	1532	2036
1533	1533	2037
1534	1534	2025
1535	1535	2028
1536	1536	2027
1537	1537	2030
1538	1538	2025
1539	1539	2038
1540	1540	2029
1541	1541	2033
1542	1542	2023
1543	1543	2028
1544	1544	2012
1545	1545	2023
1546	1546	2016
1547	1547	2013
1548	1548	2009
1549	1549	2007
1550	1550	2001
1551	1551	2001
1552	1552	1999
1553	1553	1999
1554	1554	1998
1555	1555	1988
1556	1556	1992
1557	1557	1985
1558	1558	1978
1559	1559	1978
1560	1560	1972
1561	1561	1968
1562	1562	1970
1563	1563	1970
1564	1564	1959
1565	1565	1954
1566	1566	1955
1567	1567	1962
1568	1568	1958
1569	1569	1959
1570	1570	1956
1571	1571	1961
1572	1572	1953
1573	1573	1946
1574	1574	1949
1575	1575	1944
1576	1576	1946
1577	1577	1941
1578	1578	1938
1579	1579	1931
1580	1580	1938
1581	1581	1935
1582	1582	1936
1583	1583	1938
1584	1584	1934
1585	1585	1931
1586	1586	1926
1587	1587	1928
1588	1588	1924
1589	1589	1913
1590	1590	1926
1591	1591	1918
1592	1592	1915
1593	1593	1918
1594	1594	1908
1595	1595	1916
1596	1596	1917
1597	1597	1912
1598	1598	1915
1599	1599	1908
1600	1600	1907
1601	1601	1913
1602	1602	1918
1603	1603	1902
1604	1604	1899
1605	1605	1906
1606	1606	1892
1607	1607	1892
1608	1608	1900
1609	1609	1897
1610	1610	1891
1611	1611	1886
1612	1612	1887
1613	1613	1883
1614	1614	1882
1615	1615	1879
1616	1616	1878
1617	1617	1886
1618	1618	1883
