trajectory	start	end	x1	y1	x2	y2	duration	distance	rate	angle_deg	msd_y	L_um	F_pN_abs	F_pN		
2004	142.35	151.8	2.119	0.32	-0.457	0.191	9.449999999999999	2.579	0.273	-177.143	3.32683485534659e-14	14.07941494878707	1.243745697665354	-1.243745697665354
2082	166.65	169.65	-2.458	0.491	-1.3	0.5679999999999999	3	1.161	0.387	3.828	8.276066254287055e-14	12.91305726734147	0.541344210806409	0.541344210806409
2082	170.55	174.75	-1.283	-0.078	-0.01	0.043	4.2	1.279	0.304	5.423	8.276066254287055e-14	12.91305726734147	0.541344210806409	0.541344210806409
2108	239.25	240.6	-0.53	0.146	0.204	0.026	1.35	0.744	0.551	-9.323	1.530284045205401e-14	14.64529928073537	2.273219799626069	2.273219799626069
2116	197.85	200.1	0.277	0.05	-0.95	0.159	2.25	1.232	0.547	174.913	2.445920559546313e-14	14.33575776692927	1.595718466727311	-1.595718466727311
2116	201	204	-0.981	-0.066	-3.024	-0.293	3	2.056	0.6850000000000001	-173.662	2.445920559546313e-14	14.33575776692927	1.595718466727311	-1.595718466727311
2116	204	207	-3.269	-0.226	-1.873	0.08	3	1.429	0.476	12.394	2.445920559546313e-14	14.33575776692927	1.595718466727311	1.595718466727311
2183	217.8	222.6	-2.304	-0.143	0.305	-0.014	4.8	2.612	0.544	2.831	2.94355790495562e-14	14.18741109828438	1.375772553642071	1.375772553642071
2183	229.2	230.7	0.8159999999999999	-0.079	1.723	0.032	1.5	0.914	0.609	6.934	2.94355790495562e-14	14.18741109828438	1.375772553642071	1.375772553642071
2199	230.25	231	0.475	0.037	-0.137	-0.175	0.75	0.648	0.863	-160.93	1.577736231404958e-14	14.62758738804874	2.223405154942883	-2.223405154942883
2231	260.55	267.9	-2.74	-0.381	0.6909999999999999	0.135	7.35	3.47	0.472	8.565	5.667589720199166e-14	13.4915715427148	0.7790687890025237	0.7790687890025237
98	145.35	146.55	-0.547	-0.038	-1.494	0.26	1.2	0.993	0.827	162.545	1.912461323717228e-14	14.50866741300778	1.928379720319027	-1.928379720319027
125	137.55	139.05	-0.316	-0.079	-0.034	0.124	1.5	0.348	0.232	35.772	1.740858517460318e-14	14.56840827476387	2.06854524406106	2.06854524406106
163	195.9	198.3	-0.207	0.021	0.126	0.5570000000000001	2.4	0.631	0.263	58.16	5.184500279983063e-14	13.60559943823476	0.8453503608959201	0.8453503608959201
226	161.4	162.15	-0.142	0.264	0.271	0.115	0.75	0.439	0.586	-19.885	2.936785696686532e-14	14.18936361130694	1.378356275949443	1.378356275949443
251	120.9	121.65	-0.189	-0.102	-0.466	0.43	0.75	0.6	0.8	117.512	1.496483473713695e-14	14.65806444428953	2.310189256346441	-2.310189256346441
252	125.7	126.75	-0.269	0.427	-0.039	0.015	1.05	0.472	0.449	-60.822	1.100291364171674e-14	14.81895119857592	2.86740660690669	2.86740660690669
285	214.2	216	-0.14	0.042	0.525	0.029	1.8	0.665	0.37	-1.074	6.98678726950087e-15	15.0144968892996	3.872939543171717	3.872939543171717
285	216.9	219.15	0.628	-0.051	1.311	-0.134	2.25	0.6879999999999999	0.306	-6.871	6.98678726950087e-15	15.0144968892996	3.872939543171717	3.872939543171717
285	219.6	220.5	1.379	-0.166	1.666	-0.216	0.9	0.291	0.324	-9.823	6.98678726950087e-15	15.0144968892996	3.872939543171717	3.872939543171717
306	185.4	187.65	-0.954	0.502	-1.766	0.023	2.25	0.9429999999999999	0.419	-149.447	5.372414087625399e-14	13.56090207031681	0.8183525442731723	-0.8183525442731723
310	186.9	187.65	-0.059	0.364	-1.127	-0.336	0.75	1.277	1.703	-146.75	6.116934632803937e-14	13.38789006326632	0.7256061158691869	-0.7256061158691869
320	163.2	166.35	-0.766	0.018	0.416	-0.008999999999999999	3.15	1.182	0.375	-1.29	9.661898544373616e-15	14.87949744106546	3.131587564436489	3.131587564436489
