trajectory	start     	end       	x1        	y1        	x2        	y2        	duration  	distance  	rate      	angle (deg)	msd_y	L_um	F_pN_abs	F_pN	
1662	391.35	394.05	-1.018	0.008	-0.168	-0.145	2.7	0.863	0.32	-10.242	3.265950060267607e-14	14.07213640594854	1.235560586024707	1.235560586024707
1662	397.05	399.45	0.309	-0.176	0.966	-0.052	2.4	0.669	0.279	10.635	3.265950060267607e-14	14.07213640594854	1.235560586024707	1.235560586024707
1662	402.6	403.65	1.24	-0.029	1.826	-0.194	1.05	0.608	0.579	-15.752	3.265950060267607e-14	14.07213640594854	1.235560586024707	1.235560586024707
1707	431.85	433.2	-0.501	-0.308	-1.15	-0.187	1.35	0.661	0.49	169.416	1.989989962650722e-14	14.45886547277684	1.822367492388978	-1.822367492388978
2020	378.9	381	-1.123	0.059	-4.142	-0.235	2.1	3.033	1.445	-174.437	6.705042719286024e-15	15.00944846912694	3.840606434517411	-3.840606434517411
2095	341.85	343.05	0.07000000000000001	-0.309	-0.323	0.171	1.2	0.62	0.517	129.39	4.516230774374995e-14	13.7443423223328	0.9386680586696289	-0.9386680586696289
2132	452.7	454.2	-0.195	-0.091	0.376	0.294	1.5	0.6889999999999999	0.459	33.971	3.309203225249592e-14	14.0601489707238	1.222260869968348	1.222260869968348
2152	428.85	430.35	0.032	-0.016	0.542	-0.157	1.5	0.53	0.353	-15.467	3.189605916132477e-14	14.09343416878362	1.259749739808986	1.259749739808986
2178	462.45	463.35	-1.819	-1.088	-2.23	-1.164	0.9	0.418	0.465	-169.514	2.890557504056247e-14	14.17870925911394	1.364348132178049	-1.364348132178049
2178	463.95	465.6	-2.459	-1.175	-3.032	-1.165	1.65	0.573	0.347	179.013	2.890557504056247e-14	14.17870925911394	1.364348132178049	-1.364348132178049
2505	420.45	421.5	-0.336	0.131	-0.642	0.058	1.05	0.314	0.299	-166.627	4.521401197568263e-14	13.74305383108324	0.9377285984509012	-0.9377285984509012
