 	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	Perim.	BX	BY	Width	Height	Major	Minor	Angle	Circ.	Feret	IntDen	Median	Skew	Kurt	%Area	RawIntDen	Slice	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	Length
86	23	54.503	16.378	48.487	46.750	115.167	2255.500	1838.500	0	0	22.023	2245	1838	22	1	0	0	-2.603	0.596	22.023	1253.561	0	0	0	0	1253.561	1	2245	1838	177.397	0.039	0	0	NaN	22.023
87	7	68.095	25.896	47.134	47	115.667	2504.500	138	0	0	7	2501	138	7	0	0	0	0	1	7	476.667	0	0	0	0	476.667	1	2501	138	0	0	0	0	NaN	7
88	23	54.558	20.099	44.262	43.273	115.667	2435.250	358	0	0	21.500	2425	358	22	0	0	0	0	0.625	21	1254.833	0	0	0	0	1254.833	1	2425	358	0	0	0	0	NaN	21.500
89	21	52.052	12.858	43.612	43.500	100.667	2867.750	344.500	0	0	19.500	2858	345	20	0	0	0	0	0.694	20	1093.096	0	0	0	0	1093.096	1	2858	345	0	0	0	0	NaN	19.500
90	23	56.326	21.850	46.303	44.769	116.167	2389.250	469.750	0	0	21.506	2379	470	22	1	0	0	2.603	0.625	21	1295.488	0	0	0	0	1295.488	1	2379	470	0	0	0	0	NaN	21.506
91	9	75.306	33.878	47.268	47.083	141.833	2667.250	562	0	0	7.500	2664	562	8	0	0	0	0	1	7	677.750	0	0	0	0	677.750	1	2664	562	0	0	0	0	NaN	7.500
92	16	68.860	39.789	46.352	45.583	176.717	2929.750	548.500	0	0	14.500	2923	549	15	0	0	0	0	0.956	14	1101.767	0	0	0	0	1101.767	1	2923	549	0	0	0	0	NaN	14.500
93	21	54.873	21.304	46.021	43	116.667	2830.500	566	0	0	21	2820	566	21	0	0	0	0	0.598	21	1152.333	0	0	0	0	1152.333	1	2820	566	0	0	0	0	NaN	21
94	22	56.032	18.446	47.984	46.247	114.667	2580.250	615.250	0	0	20.506	2570	615	21	1	0	0	0	0.657	21.024	1232.703	0	0	0	0	1232.703	1	2570	616	2.726	0.083	0	0	NaN	20.506
95	22	58.119	22.318	50.560	48.150	143.083	2643.750	668.750	0	0	20.506	2634	669	21	1	0	0	-2.726	0.657	20	1278.614	0	0	0	0	1278.614	1	2634	669	0	0	0	0	NaN	20.506
96	7	74.980	24.578	53.968	53.833	122.833	2664.500	684.250	0	0	6.021	2662	684	6	1	0	0	0	1	6.083	524.861	0	0	0	0	524.861	1	2662	685	9.462	0.004	0	0	NaN	6.021
97	23	57.241	20.234	47.679	45.855	117.667	2888.250	688.750	0	0	21.506	2878	689	22	1	0	0	-2.603	0.625	21	1316.550	0	0	0	0	1316.550	1	2878	689	0	0	0	0	NaN	21.506
98	22	55.368	15.243	48.221	47	103.833	2475	743.250	0	0	21.006	2465	743	21	1	0	0	0	0.627	21.024	1218.103	0	0	0	0	1218.103	1	2465	743	177.274	0.083	0	0	NaN	21.006
99	22	55.360	12.683	49.908	47.371	99.333	3041.750	757.250	0	0	20.506	3032	757	21	1	0	0	0	0.657	20.025	1217.914	0	0	0	0	1217.914	1	3032	758	2.862	0.048	0	0	NaN	20.506
100	22	70.915	28.620	56.611	54.780	188.667	2837.250	788.500	0	0	20.524	2827	788	21	1	0	0	-2.862	0.656	21.024	1560.127	0	0	0	0	1560.127	1	2827	788	177.274	0.083	0	0	NaN	20.524
101	23	63.191	23.911	51.835	50.576	142.667	2382.750	823.750	0	0	21.506	2372	824	22	1	0	0	-2.726	0.625	22	1453.396	0	0	0	0	1453.396	1	2372	824	0	0	0	0	NaN	21.506
102	23	60.753	19.402	50.565	49.353	118.333	2482.250	857.250	0	0	21.506	2472	857	22	1	0	0	0	0.625	21.024	1397.326	0	0	0	0	1397.326	1	2472	857	177.274	0.083	0	0	NaN	21.506
103	20	61.112	25.094	51.278	48.333	148.833	2952	866.500	0	0	19	2943	867	19	0	0	0	0	0.696	19	1222.250	0	0	0	0	1222.250	1	2943	867	0	0	0	0	NaN	19
104	22	57.837	22.102	47.568	46.490	125.333	2621.250	1010.250	0	0	20.506	2611	1010	21	1	0	0	0	0.657	21.024	1272.404	0	0	0	0	1272.404	1	2611	1010	177.274	0.083	0	0	NaN	20.506
105	23	53.565	12.792	47.058	46	87.667	2599.500	1084	0	0	23	2588	1084	23	0	0	0	0	0.546	23	1232.000	0	0	0	0	1232.000	1	2588	1084	0	0	0	0	NaN	23
106	23	54.835	13.301	46.912	46.818	94.833	2465.250	1106.500	0	0	21.500	2455	1107	22	0	0	0	0	0.625	21	1261.208	0	0	0	0	1261.208	1	2455	1107	0	0	0	0	NaN	21.500
107	22	57.983	13.164	49.168	49.056	106.500	2916.250	1152.500	0	0	20.500	2906	1153	21	0	0	0	0	0.658	21	1275.619	0	0	0	0	1275.619	1	2906	1153	0	0	0	0	NaN	20.500
108	21	60.652	18.172	53.311	50.975	121.333	2437	1198.250	0	0	20.006	2427	1198	20	1	0	0	0	0.659	20.025	1273.700	0	0	0	0	1273.700	1	2427	1199	2.862	0.048	0	0	NaN	20.006
109	23	58.416	18.224	47.362	47.227	116.258	2704	1267.750	0	0	22.006	2693	1268	22	1	0	0	2.603	0.597	22	1343.576	0	0	0	0	1343.576	1	2693	1268	0	0	0	0	NaN	22.006
110	24	64.692	23.541	51.614	49.841	119.667	2518.250	1445	0	0	22.500	2507	1445	23	0	0	0	0	0.596	23	1552.601	0	0	0	0	1552.601	1	2507	1445	0	0	0	0	NaN	22.500
111	23	68.868	26.302	56.708	56.068	165.250	2609.750	1532.500	0	0	21.500	2599	1533	22	0	0	0	0	0.625	22	1583.970	0	0	0	0	1583.970	1	2599	1533	0	0	0	0	NaN	21.500
112	23	64.238	19.687	55.011	52.500	120.174	2653.250	1540	0	0	21.500	2643	1540	22	0	0	0	0	0.625	21	1477.485	0	0	0	0	1477.485	1	2643	1540	0	0	0	0	NaN	21.500
113	23	60.628	19.402	51.797	48.636	119	2977.250	1575	0	0	21.500	2967	1575	22	0	0	0	0	0.625	21	1394.439	0	0	0	0	1394.439	1	2967	1575	0	0	0	0	NaN	21.500
114	13	61.285	17.859	51.552	49.056	109.917	2953.750	1614.500	0	0	11.500	2948	1615	12	0	0	0	0	1	12	796.708	0	0	0	0	796.708	1	2948	1615	0	0	0	0	NaN	11.500
115	23	64.925	32.928	52.871	49.568	179.667	3011	1671.250	0	0	22.006	3000	1671	22	1	0	0	0	0.597	22.023	1493.280	0	0	0	0	1493.280	1	3000	1672	2.603	0.039	0	0	NaN	22.006
116	22	52.159	5.161	50.317	48.444	71.833	3091	1697.750	0	0	21.006	3081	1698	21	1	0	0	2.726	0.627	21	1147.508	0	0	0	0	1147.508	1	3081	1698	0	0	0	0	NaN	21.006
117	14	74.289	39.059	49.153	48.885	186.333	2769.250	1699.500	0	0	12.500	2763	1700	13	0	0	0	0	1	13	1040.051	0	0	0	0	1040.051	1	2763	1700	0	0	0	0	NaN	12.500
118	23	56.666	8.445	49.843	48.716	87.167	2774.250	1712.250	0	0	21.506	2764	1712	22	1	0	0	0	0.625	21.024	1303.307	0	0	0	0	1303.307	1	2764	1712	177.274	0.083	0	0	NaN	21.506
119	23	57.362	12.297	51.613	49.667	93	2516	1756.500	0	0	22	2505	1757	22	0	0	0	0	0.597	22	1319.333	0	0	0	0	1319.333	1	2505	1757	0	0	0	0	NaN	22
120	23	60.336	20.732	49.987	47.379	117.652	2876.250	1760	0	0	21.500	2866	1760	22	0	0	0	0	0.625	21	1387.727	0	0	0	0	1387.727	1	2866	1760	0	0	0	0	NaN	21.500
121	22	57.134	18.445	48.636	47.131	117.167	2617.750	1844.500	0	0	20.500	2608	1845	21	0	0	0	0	0.658	20	1256.956	0	0	0	0	1256.956	1	2608	1845	0	0	0	0	NaN	20.500
122	5	110.966	7.910	108.662	100.083	119.432	2803.250	1859.750	0	0	3.536	2802	1860	4	1	0	0	-14.036	1	3	554.828	0	0	0	0	554.828	1	2802	1860	0	0	0	0	NaN	3.536
123	24	60.917	17.876	50.950	50.616	107.641	2514.750	1905.500	0	0	22.500	2504	1906	23	0	0	0	0	0.596	22	1462.004	0	0	0	0	1462.004	1	2504	1906	0	0	0	0	NaN	22.500
124	14	77.782	37.473	48.262	48.051	156.083	2917.250	1905.500	0	0	12.500	2911	1906	13	0	0	0	0	1	13	1088.942	0	0	0	0	1088.942	1	2911	1906	0	0	0	0	NaN	12.500
125	23	53.936	14.471	46.612	46.488	110.167	3013.250	1939.750	0	0	21.506	3003	1940	22	1	0	0	2.603	0.625	21	1240.527	0	0	0	0	1240.527	1	3003	1940	0	0	0	0	NaN	21.506
126	22	58.212	18.113	49.066	48	108.667	3159.500	1717.250	0	0	21.006	3149	1717	21	1	0	0	0	0.627	21.024	1280.667	0	0	0	0	1280.667	1	3149	1717	177.274	0.083	0	0	NaN	21.006
127	21	56.317	17.192	49.289	47.810	116.667	3118.750	1544.500	0	0	19.526	3109	1544	20	1	0	0	-3.013	0.692	20.025	1182.656	0	0	0	0	1182.656	1	3109	1544	177.138	0.048	0	0	NaN	19.526
128	23	59.107	19.553	49.033	46.961	117.667	3145.250	1595.750	0	0	21.506	3135	1596	22	1	0	0	2.603	0.625	21	1359.472	0	0	0	0	1359.472	1	3135	1596	0	0	0	0	NaN	21.506
